
*******   STEP   1      *** NEFF=10 CALCULATION                
   21   0.129E-02   0.191E+01   0.135E-01
   22   0.125E-02   0.191E+01   0.133E-01
   23   0.121E-02   0.191E+01   0.131E-01
   24   0.118E-02   0.190E+01   0.129E-01
   25   0.114E-02   0.190E+01   0.128E-01
   26   0.111E-02   0.190E+01   0.126E-01
   27   0.108E-02   0.190E+01   0.124E-01
   28   0.105E-02   0.190E+01   0.122E-01
   29   0.102E-02   0.189E+01   0.120E-01
   30   0.988E-03   0.189E+01   0.119E-01
   31   0.960E-03   0.189E+01   0.117E-01
   32   0.932E-03   0.189E+01   0.115E-01
   33   0.905E-03   0.189E+01   0.114E-01
   34   0.879E-03   0.189E+01   0.112E-01
   35   0.853E-03   0.189E+01   0.111E-01
   36   0.828E-03   0.189E+01   0.110E-01
   37   0.803E-03   0.188E+01   0.108E-01
   38   0.778E-03   0.188E+01   0.107E-01
   39   0.754E-03   0.188E+01   0.106E-01
   40   0.731E-03   0.188E+01   0.105E-01
   41   0.709E-03   0.188E+01   0.103E-01
   42   0.688E-03   0.188E+01   0.102E-01
   43   0.670E-03   0.188E+01   0.101E-01
   44   0.655E-03   0.188E+01   0.999E-02
   45   0.648E-03   0.188E+01   0.986E-02
   46   0.651E-03   0.188E+01   0.972E-02
   47   0.682E-03   0.187E+01   0.102E-01
   48   0.725E-03   0.185E+01   0.931E-02
   49   0.837E-03   0.182E+01   0.947E-02
   50   0.965E-03   0.178E+01   0.860E-02
   51   0.123E-02   0.171E+01   0.906E-02
   52   0.146E-02   0.161E+01   0.744E-02
   53   0.176E-02   0.149E+01   0.675E-02
   54   0.227E-02   0.133E+01   0.691E-02
   55   0.234E-02   0.115E+01   0.529E-02
   56   0.250E-02   0.983E+00   0.464E-02
   57   0.291E-02   0.826E+00   0.427E-02
   58   0.294E-02   0.667E+00   0.388E-02
   59   0.280E-02   0.529E+00   0.318E-02
   60   0.256E-02   0.417E+00   0.233E-02
   61   0.189E-02   0.327E+00   0.200E-02
   62   0.195E-02   0.267E+00   0.169E-02
   63   0.171E-02   0.211E+00   0.140E-02
   64   0.144E-02   0.164E+00   0.111E-02
   65   0.118E-02   0.128E+00   0.849E-03
   66   0.961E-03   0.996E-01   0.657E-03
   67   0.774E-03   0.774E-01   0.527E-03
   68   0.618E-03   0.602E-01   0.446E-03
   69   0.491E-03   0.468E-01   0.375E-03
   70   0.388E-03   0.363E-01   0.280E-03
   71   0.305E-03   0.282E-01   0.199E-03
   72   0.239E-03   0.219E-01   0.155E-03
   73   0.187E-03   0.170E-01   0.122E-03
   74   0.146E-03   0.132E-01   0.122E-03
   75   0.114E-03   0.102E-01   0.121E-03
   76   0.890E-04   0.794E-02   0.776E-04
   77   0.691E-04   0.616E-02   0.579E-04
   78   0.536E-04   0.478E-02   0.652E-04
   79   0.417E-04   0.371E-02   0.390E-04
   80   0.325E-04   0.288E-02   0.552E-04
   81   0.254E-04   0.224E-02   0.665E-04
   82   0.197E-04   0.173E-02   0.343E-04
   83   0.152E-04   0.134E-02   0.405E-04
   84   0.117E-04   0.104E-02   0.516E-04
   85   0.913E-05   0.810E-03   0.250E-04

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.992E-02   0.181E+01   0.135E+00
    2   0.913E-02   0.186E+01   0.103E+00
    3   0.735E-02   0.189E+01   0.845E-01
    4   0.639E-02   0.190E+01   0.725E-01
    5   0.580E-02   0.189E+01   0.634E-01
    6   0.546E-02   0.189E+01   0.560E-01
    7   0.529E-02   0.187E+01   0.499E-01
    8   0.521E-02   0.185E+01   0.445E-01
    9   0.516E-02   0.183E+01   0.398E-01
   10   0.514E-02   0.181E+01   0.356E-01
   11   0.513E-02   0.179E+01   0.318E-01
   12   0.514E-02   0.176E+01   0.284E-01
   13   0.517E-02   0.172E+01   0.254E-01
   14   0.520E-02   0.167E+01   0.226E-01
   15   0.523E-02   0.161E+01   0.200E-01
   16   0.524E-02   0.153E+01   0.177E-01
   17   0.522E-02   0.144E+01   0.157E-01
   18   0.515E-02   0.134E+01   0.138E-01
   19   0.502E-02   0.123E+01   0.121E-01
   20   0.484E-02   0.112E+01   0.107E-01
   21   0.461E-02   0.100E+01   0.937E-02
   22   0.433E-02   0.890E+00   0.821E-02
   23   0.402E-02   0.786E+00   0.720E-02
   24   0.369E-02   0.691E+00   0.630E-02
   25   0.335E-02   0.604E+00   0.552E-02
   26   0.301E-02   0.527E+00   0.483E-02
   27   0.269E-02   0.459E+00   0.422E-02
   28   0.238E-02   0.399E+00   0.369E-02
   29   0.211E-02   0.347E+00   0.323E-02
   30   0.185E-02   0.302E+00   0.282E-02
   31   0.163E-02   0.262E+00   0.246E-02
   32   0.142E-02   0.228E+00   0.215E-02
   33   0.124E-02   0.198E+00   0.188E-02
   34   0.124E-02   0.172E+00   0.161E-02
   35   0.108E-02   0.146E+00   0.137E-02
   36   0.924E-03   0.124E+00   0.116E-02
   37   0.786E-03   0.105E+00   0.989E-03
   38   0.667E-03   0.891E-01   0.840E-03
   39   0.567E-03   0.756E-01   0.715E-03
   40   0.482E-03   0.641E-01   0.609E-03
   41   0.409E-03   0.544E-01   0.519E-03
   42   0.348E-03   0.462E-01   0.442E-03
   43   0.295E-03   0.393E-01   0.375E-03
   44   0.251E-03   0.333E-01   0.318E-03
   45   0.213E-03   0.283E-01   0.270E-03
   46   0.181E-03   0.241E-01   0.230E-03
   47   0.154E-03   0.204E-01   0.197E-03
   48   0.131E-03   0.174E-01   0.168E-03
   49   0.111E-03   0.148E-01   0.142E-03
   50   0.945E-04   0.126E-01   0.120E-03
   51   0.804E-04   0.107E-01   0.102E-03
   52   0.684E-04   0.907E-02   0.871E-04
   53   0.581E-04   0.771E-02   0.747E-04
   54   0.494E-04   0.655E-02   0.638E-04
   55   0.420E-04   0.557E-02   0.537E-04
   56   0.357E-04   0.474E-02   0.453E-04
   57   0.304E-04   0.403E-02   0.385E-04
   58   0.258E-04   0.342E-02   0.329E-04
   59   0.220E-04   0.291E-02   0.285E-04
   60   0.187E-04   0.248E-02   0.244E-04
   61   0.159E-04   0.210E-02   0.204E-04
   62   0.135E-04   0.179E-02   0.171E-04
   63   0.115E-04   0.152E-02   0.146E-04
   64   0.976E-05   0.129E-02   0.124E-04
   65   0.831E-05   0.110E-02   0.110E-04
   66   0.706E-05   0.935E-03   0.950E-05

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.642E-02   0.187E+01   0.883E-01
    2   0.830E-02   0.178E+01   0.538E-01
    3   0.798E-02   0.169E+01   0.402E-01
    4   0.762E-02   0.144E+01   0.324E-01
    5   0.696E-02   0.117E+01   0.266E-01
    6   0.616E-02   0.944E+00   0.221E-01
    7   0.536E-02   0.769E+00   0.183E-01
    8   0.461E-02   0.629E+00   0.152E-01
    9   0.392E-02   0.517E+00   0.127E-01
   10   0.331E-02   0.425E+00   0.106E-01
   11   0.278E-02   0.351E+00   0.883E-02
   12   0.233E-02   0.290E+00   0.737E-02
   13   0.195E-02   0.241E+00   0.616E-02
   14   0.163E-02   0.200E+00   0.514E-02
   15   0.136E-02   0.166E+00   0.430E-02
   16   0.113E-02   0.138E+00   0.359E-02
   17   0.943E-03   0.115E+00   0.300E-02
   18   0.786E-03   0.956E-01   0.251E-02
   19   0.656E-03   0.797E-01   0.210E-02
   20   0.547E-03   0.664E-01   0.175E-02
   21   0.457E-03   0.554E-01   0.147E-02
   22   0.382E-03   0.463E-01   0.123E-02
   23   0.319E-03   0.386E-01   0.102E-02
   24   0.316E-03   0.322E-01   0.826E-03
   25   0.264E-03   0.259E-01   0.659E-03
   26   0.212E-03   0.207E-01   0.525E-03
   27   0.169E-03   0.164E-01   0.418E-03
   28   0.135E-03   0.131E-01   0.333E-03
   29   0.107E-03   0.104E-01   0.265E-03
   30   0.853E-04   0.830E-02   0.211E-03
   31   0.679E-04   0.660E-02   0.168E-03
   32   0.540E-04   0.526E-02   0.134E-03
   33   0.430E-04   0.419E-02   0.107E-03
   34   0.343E-04   0.334E-02   0.850E-04
   35   0.273E-04   0.266E-02   0.677E-04
   36   0.217E-04   0.212E-02   0.539E-04
   37   0.173E-04   0.169E-02   0.431E-04
   38   0.138E-04   0.134E-02   0.344E-04
   39   0.110E-04   0.107E-02   0.273E-04
   40   0.875E-05   0.852E-03   0.218E-04

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.809E-02   0.131E+01   0.742E-01
    2   0.713E-02   0.119E+01   0.464E-01
    3   0.649E-02   0.102E+01   0.359E-01
    4   0.580E-02   0.859E+00   0.294E-01
    5   0.508E-02   0.716E+00   0.244E-01
    6   0.439E-02   0.596E+00   0.203E-01
    7   0.376E-02   0.497E+00   0.170E-01
